"",BBK01.SUD021,BBK01.SUD021_FLAGS,BBK01.SUD022,BBK01.SUD022_FLAGS,BBK01.SUD023,BBK01.SUD023_FLAGS,BBK01.SUD024,BBK01.SUD024_FLAGS,BBK01.SUD026,BBK01.SUD026_FLAGS,BBK01.SUD027,BBK01.SUD027_FLAGS,BBK01.SUD028,BBK01.SUD028_FLAGS,BBK01.SUD029,BBK01.SUD029_FLAGS,BBK01.SUD030,BBK01.SUD030_FLAGS,BBK01.SUD031,BBK01.SUD031_FLAGS,BBK01.SUD032,BBK01.SUD032_FLAGS,BBK01.SUD033,BBK01.SUD033_FLAGS,BBK01.SUD034,BBK01.SUD034_FLAGS,BBK01.SUD201,BBK01.SUD201_FLAGS,BBK01.SUD202,BBK01.SUD202_FLAGS,BBK01.SUD203,BBK01.SUD203_FLAGS,BBK01.SUD204,BBK01.SUD204_FLAGS,BBK01.SUD205,BBK01.SUD205_FLAGS,BBK01.SUD206,BBK01.SUD206_FLAGS,BBK01.SUD207,BBK01.SUD207_FLAGS,BBK01.SUD208,BBK01.SUD208_FLAGS,BBK01.SUD209,BBK01.SUD209_FLAGS,BBK01.SUD210,BBK01.SUD210_FLAGS,BBK01.SUD212,BBK01.SUD212_FLAGS,BBK01.SUD213,BBK01.SUD213_FLAGS,BBK01.SUD214,BBK01.SUD214_FLAGS,BBK01.SUD215,BBK01.SUD215_FLAGS,BBK01.SUD216,BBK01.SUD216_FLAGS,BBK01.SUD217,BBK01.SUD217_FLAGS,BBK01.SUD218,BBK01.SUD218_FLAGS,BBK01.SUD219,BBK01.SUD219_FLAGS,BBK01.SUD220,BBK01.SUD220_FLAGS,BBK01.SUD221,BBK01.SUD221_FLAGS,BBK01.SUD222,BBK01.SUD222_FLAGS,BBK01.SUD223,BBK01.SUD223_FLAGS,BBK01.SUD224,BBK01.SUD224_FLAGS,BBK01.SUD225,BBK01.SUD225_FLAGS,BBK01.SUD226,BBK01.SUD226_FLAGS,BBK01.SUD227,BBK01.SUD227_FLAGS,BBK01.SUD228,BBK01.SUD228_FLAGS,BBK01.SUD229,BBK01.SUD229_FLAGS
2020-04,52567,,219117,,71964,,25694,,4673,,26483,,1291221,,45827,,86755,,319658,,185780,,177975,,752025,,1597323,,3086,,308,,601,,531921,,31083,,495710,,33483,,288,,78,,30063,,361,,2291,,5190,,2525,,1822,,7769,,12425,,2042,,944,,3519,,85702,,8269,,1460,,3795,,53150,,3999,,9620,
2020-05,53093,,219267,,80523,,24937,,4752,,26603,,1299073,,44605,,86303,,320868,,181594,,182819,,761686,,1619447,,3300,,1117,,629,,532140,,30662,,501848,,37552,,707,,259,,28731,,494,,2843,,4608,,3000,,1643,,6872,,10845,,2118,,833,,3629,,82928,,8544,,1466,,5694,,41644,,3723,,9345,
2020-06,53752,,218668,,77282,,24172,,4628,,26702,,1303405,,46438,,86046,,319461,,172708,,184793,,766896,,1626420,,3283,,1455,,854,,532292,,29671,,508658,,31980,,633,,313,,30074,,401,,3258,,5099,,2235,,1947,,7983,,10628,,2252,,1070,,3191,,81584,,10537,,1714,,3962,,53115,,4895,,12072,
2020-07,53945,,218177,,86703,,22652,,4720,,26707,,1312369,,45560,,86188,,321139,,169944,,186433,,769953,,1643393,,3296,,1161,,750,,531191,,29168,,520954,,40301,,592,,208,,28738,,439,,3744,,5804,,2518,,1847,,8036,,11949,,2241,,774,,2278,,77478,,10302,,1419,,2616,,44151,,4770,,9141,
2020-08,53971,,218020,,82164,,22508,,4727,,26690,,1315489,,45609,,86216,,321757,,165184,,187678,,779570,,1650273,,2643,,563,,555,,531277,,28764,,528905,,35771,,170,,164,,29015,,391,,3050,,4899,,2209,,1500,,7032,,10539,,1710,,773,,1727,,76674,,8324,,1235,,1654,,35797,,3186,,5659,
2020-09,54068,,218212,,82957,,23504,,4705,,26940,,1329087,,46438,,86231,,322100,,160014,,186700,,774045,,1658764,,3027,,501,,590,,531223,,28417,,532597,,37956,,112,,275,,30004,,417,,3286,,4936,,2213,,1542,,6957,,11070,,1997,,612,,1908,,76092,,10506,,1308,,1544,,45047,,3107,,10041,
2020-10,53982,,218002,,84498,,22350,,4792,,26962,,1337259,,45325,,85849,,323886,,157761,,187240,,779595,,1680565,,3014,,509,,805,,531245,,28001,,548227,,38781,,237,,548,,28750,,436,,2905,,4924,,2362,,1554,,7579,,11722,,1832,,578,,1869,,75773,,10358,,1354,,1555,,42053,,4238,,7163,
2020-11,52719,,217758,,80549,,22254,,4616,,27072,,1345468,,44787,,85328,,324149,,154555,,187341,,784308,,1703473,,2483,,404,,747,,531537,,27578,,549032,,30418,,220,,533,,28273,,566,,2797,,4416,,2372,,1708,,7413,,11692,,1731,,585,,1710,,75326,,9897,,1343,,1647,,37080,,4017,,8827,
2020-12,53079,,219376,,79340,,22256,,4557,,27024,,1353793,,45013,,85416,,323181,,150278,,186798,,787188,,1715292,,3214,,394,,794,,532793,,27312,,546575,,34321,,556,,970,,28411,,551,,2544,,3556,,2195,,1698,,7733,,10522,,2404,,772,,2297,,73178,,9615,,1615,,2110,,56078,,4945,,13362,
2021-01,51896,,220299,,74531,,21979,,4663,,26903,,1357733,,43164,,84363,,323164,,149911,,186599,,790534,,1732961,,3036,,357,,734,,534458,,26749,,545028,,35220,,126,,129,,27635,,439,,1973,,4423,,2124,,1615,,7316,,10666,,1958,,572,,2000,,71526,,8828,,1183,,1552,,35711,,2185,,5906,
2021-02,51369,,220419,,72894,,22242,,4642,,26790,,1363884,,43200,,83522,,323393,,152425,,189130,,793839,,1754413,,2793,,385,,741,,535684,,26435,,539935,,32726,,113,,537,,27298,,379,,2194,,4503,,2098,,1563,,7547,,10938,,1680,,578,,2007,,73354,,8851,,1084,,1533,,32922,,2679,,7447,
2021-03,51417,,220406,,77326,,21860,,4545,,26788,,1373003,,44263,,83114,,322618,,163745,,194734,,794245,,1750971,,3073,,342,,834,,535778,,26115,,571025,,54987,,363,,919,,27993,,384,,3296,,5619,,2684,,1958,,10006,,13941,,2358,,691,,2666,,71866,,10691,,1432,,1842,,62746,,6173,,10469,
2021-04,50078,,220310,,74026,,21529,,4496,,26870,,1381533,,43462,,82596,,323494,,151270,,195027,,798088,,1772803,,2465,,379,,591,,536476,,25840,,559616,,52411,,113,,87,,27152,,325,,2731,,4871,,2343,,1725,,8741,,11732,,1956,,724,,1982,,70106,,9318,,1385,,1553,,35109,,3022,,6390,
2021-05,48897,,220455,,74080,,21455,,4575,,26759,,1390096,,43692,,82120,,323923,,153129,,194737,,802212,,1786469,,2399,,307,,529,,537061,,25715,,564627,,53947,,194,,231,,27148,,301,,2605,,4667,,2064,,1568,,8416,,10738,,1589,,550,,1738,,71766,,8462,,1179,,1578,,36993,,2491,,7923,
2021-06,48834,,220118,,71148,,21464,,4485,,26949,,1399549,,45343,,81846,,323511,,149474,,193910,,801420,,1788689,,2957,,310,,566,,536727,,25503,,569903,,64520,,278,,200,,28056,,359,,3090,,5530,,2374,,1775,,9196,,11815,,2198,,702,,2270,,72184,,9481,,1409,,1734,,52578,,6948,,10979,
2021-07,45300,,219790,,69514,,20964,,4642,,26996,,1410004,,44338,,81734,,325291,,148978,,194327,,808937,,1800235,,2414,,401,,695,,536463,,25216,,581879,,57334,,322,,168,,27102,,386,,3014,,5880,,2686,,1649,,9216,,11570,,1920,,732,,2298,,72788,,9608,,1403,,1753,,41858,,3934,,11615,
2021-08,44901,,219708,,68741,,21058,,4581,,27041,,1418884,,44785,,81447,,325890,,148766,,196065,,811706,,1797331,,2315,,278,,558,,536145,,24993,,589698,,47074,,174,,699,,27343,,340,,2828,,5528,,2324,,1514,,7975,,10922,,1594,,612,,1895,,72622,,7827,,1094,,1308,,33740,,3001,,7077,
2021-09,44268,,219587,,69338,,21227,,4521,,27117,,1427271,,45750,,81133,,325265,,149784,,194697,,811174,,1791879,,2254,,241,,513,,535555,,24780,,590408,,48685,,.,No value available,333,,28404,,323,,2783,,5368,,2204,,1451,,7631,,10946,,1950,,626,,1825,,74389,,9309,,1198,,1245,,45311,,4339,,7939,
2021-10,43497,Provisional value,219465,Provisional value,75404,Provisional value,21496,Provisional value,4624,Provisional value,27324,Provisional value,1436840,Provisional value,44700,Provisional value,80768,Provisional value,326197,Provisional value,158326,Provisional value,197977,Provisional value,813698,Provisional value,1800379,Provisional value,1944,Provisional value,228,Provisional value,474,Provisional value,535229,Provisional value,24558,Provisional value,598979,Provisional value,70382,Provisional value,214,Provisional value,1051,Provisional value,27520,Provisional value,356,Provisional value,2677,Provisional value,5353,Provisional value,2353,Provisional value,1613,Provisional value,8013,Provisional value,10650,Provisional value,1721,Provisional value,692,Provisional value,1904,Provisional value,75182,Provisional value,9150,Provisional value,1248,Provisional value,1242,Provisional value,48161,Provisional value,2573,Provisional value,9033,Provisional value
"",General: Data based on mothly balance sheet statistics.,,General: Data based on mothly balance sheet statistics.,,General: Data based on mothly balance sheet statistics.,,General: Data based on mothly balance sheet statistics.,,"General: Data based on mothly balance sheet statistics. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. Including overdrafts.",,"General: Data based on mothly balance sheet statistics. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account.",,"General: Data based on mothly balance sheet statistics. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account.",,"General: Data based on mothly balance sheet statistics. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc. Including overdrafts.",,"General: Data based on mothly balance sheet statistics. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc.",,"General: Data based on mothly balance sheet statistics. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc.",,General: Data based on mothly balance sheet statistics. Including overdrafts.,,General: Data based on mothly balance sheet statistics.,,General: Data based on mothly balance sheet statistics.,,General: New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding deposit business at the end of the month has to be incorporated in the calculation of volumes. Data based on monthly balance sheet statistics.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business.,,General: New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding deposit business at the end of the month has to be incorporated in the calculation of volumes. Data based on monthly balance sheet statistics. Including non-financial corporations' deposits redeemable at notice of up to 3 months; including fidelity and growth premia.,,General: New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding deposit business at the end of the month has to be incorporated in the calculation of volumes. Data based on monthly balance sheet statistics. Including non-financial corporations' deposits redeemable at notice of over 3 months; including fidelity and growth premia.,,General: New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding deposit business at the end of the month has to be incorporated in the calculation of volumes. Data based on monthly balance sheet statistics.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business.,,General: From June 2010 including revolving loans. New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding lending business at the end of the month has to be incorporated in the calculation of volumes. From January 2003 up to May 2010 estimated. The volume of outstanding amounts reported was extrapolated to form the underlying total using the Horvitz-Thompson estimator. From June 2010 the data are based on monthly balance sheet statistics. Overdrafts are defined as debit balances on current accounts. They include all bank overdrafts regardless of whether they are within or beyond the limits agreed between customers and the bank. Revolving loans are loans that have all the following features: 1) the borrowers may use or withdraw funds to a pre-approved credit limit without giving prior notice to the lender; 2) the amount of available credit can increase and decrease as funds are borrowed and repaid; 3) the credit may be used repeatedly; 4) there is no obligation of regular repayment of funds.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. Excluding overdrafts.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services.,,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. Excluding overdrafts.",,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account.",,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account.",,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account.",,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc. Excluding overdrafts.",,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc.",,"General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc.",,General: From June 2010 including revolving loans. New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding lending business at the end of the month has to be incorporated in the calculation of volumes. From January 2003 up to May 2010 estimated. The volume of outstanding amounts reported was extrapolated to form the underlying total using the Horvitz-Thompson estimator. From June 2010 the data are based on monthly balance sheet statistics. Overdrafts are defined as debit balances on current accounts. They include all bank overdrafts regardless of whether they are within or beyond the limits agreed between customers and the bank. Revolving loans are loans that have all the following features: 1) the borrowers may use or withdraw funds to a pre-approved credit limit without giving prior notice to the lender; 2) the amount of available credit can increase and decrease as funds are borrowed and repaid; 3) the credit may be used repeatedly; 4) there is no obligation of regular repayment of funds.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. The amount category refers to the single loan transaction considered as new business. Excluding overdrafts.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. The amount category refers to the single loan transaction considered as new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. The amount category refers to the single loan transaction considered as new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. The amount category refers to the single loan transaction considered as new business. Excluding overdrafts.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. The amount category refers to the single loan transaction considered as new business.,,General: The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. The amount category refers to the single loan transaction considered as new business.,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,,,,,,,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,,,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,,,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),,Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on 2019-09: Dominated by the business of two banks. Therefore, the value cannot be published because of confidentiality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
