"",BBK01.OU0115,BBK01.OU0115_FLAGS,BBK01.OU0116,BBK01.OU0116_FLAGS,BBK01.OU0123,BBK01.OU0123_FLAGS,BBK01.OU0175,BBK01.OU0175_FLAGS,BBK01.OU0176,BBK01.OU0176_FLAGS,BBK01.OU0355,BBK01.OU0355_FLAGS,BBK01.OU0138,BBK01.OU0138_FLAGS,BBK01.OU0139,BBK01.OU0139_FLAGS,BBK01.OU0142,BBK01.OU0142_FLAGS,BBK01.OUA185,BBK01.OUA185_FLAGS,BBK01.OUA186,BBK01.OUA186_FLAGS,BBK01.OV0115,BBK01.OV0115_FLAGS,BBK01.OV0116,BBK01.OV0116_FLAGS,BBK01.OV0123,BBK01.OV0123_FLAGS,BBK01.OV0175,BBK01.OV0175_FLAGS,BBK01.OV0176,BBK01.OV0176_FLAGS,BBK01.OV0355,BBK01.OV0355_FLAGS,BBK01.OV0138,BBK01.OV0138_FLAGS,BBK01.OV0139,BBK01.OV0139_FLAGS,BBK01.OV0142,BBK01.OV0142_FLAGS,BBK01.OVA185,BBK01.OVA185_FLAGS,BBK01.OVA186,BBK01.OVA186_FLAGS,BBK01.OUA187,BBK01.OUA187_FLAGS,BBK01.OU0184,BBK01.OU0184_FLAGS,BBK01.OU0178,BBK01.OU0178_FLAGS,BBK01.OUA188,BBK01.OUA188_FLAGS,BBK01.OU0179,BBK01.OU0179_FLAGS,BBK01.OUA189,BBK01.OUA189_FLAGS,BBK01.OUA190,BBK01.OUA190_FLAGS,BBK01.OU0144,BBK01.OU0144_FLAGS,BBK01.OU0149,BBK01.OU0149_FLAGS,BBK01.OU0337,BBK01.OU0337_FLAGS,BBK01.OU0307,BBK01.OU0307_FLAGS,BBK01.OU0150,BBK01.OU0150_FLAGS,BBK01.OVA187,BBK01.OVA187_FLAGS,BBK01.OV0184,BBK01.OV0184_FLAGS,BBK01.OV0178,BBK01.OV0178_FLAGS,BBK01.OVA188,BBK01.OVA188_FLAGS,BBK01.OV0179,BBK01.OV0179_FLAGS,BBK01.OVA189,BBK01.OVA189_FLAGS,BBK01.OVA190,BBK01.OVA190_FLAGS,BBK01.OV0144,BBK01.OV0144_FLAGS,BBK01.OV0149,BBK01.OV0149_FLAGS,BBK01.OV0337,BBK01.OV0337_FLAGS,BBK01.OV0307,BBK01.OV0307_FLAGS,BBK01.OV0150,BBK01.OV0150_FLAGS
2012-09,3252.990,,2818.352,,413.932,,340.867,,340.430,,0.437,,73.065,,67.895,,5.170,,2839.058,,2311.508,,0.476,,-6.376,,-2.360,,-3.527,,-3.523,,-0.004,,1.167,,0.648,,0.519,,2.836,,1.086,,2118.132,,249.040,,1869.092,,193.376,,31.465,,527.550,,291.895,,39.099,,252.796,,235.655,,-,Nothing exists,3.512,,-2.202,,-0.914,,-1.288,,3.288,,-0.181,,1.750,,-1.299,,-0.370,,-0.929,,3.049,,-,Nothing exists,-0.027,
2012-10,3271.102,,2837.950,,430.640,,351.066,,350.580,,0.486,,79.574,,73.585,,5.989,,2840.462,,2309.656,,17.442,,19.598,,16.708,,10.199,,10.150,,0.049,,6.509,,5.690,,0.819,,0.734,,-1.852,,2120.915,,249.798,,1871.117,,188.741,,31.232,,530.806,,292.870,,39.866,,253.004,,237.936,,-,Nothing exists,3.483,,2.783,,0.758,,2.025,,-4.635,,-0.233,,2.586,,0.975,,0.767,,0.208,,1.611,,-,Nothing exists,-0.029,
2012-11,3265.452,,2825.716,,410.351,,338.226,,337.787,,0.439,,72.125,,66.758,,5.367,,2855.101,,2316.436,,-5.480,,-12.064,,-20.279,,-12.830,,-12.783,,-0.047,,-7.449,,-6.827,,-0.622,,14.799,,6.940,,2127.730,,251.306,,1876.424,,188.706,,31.493,,538.665,,293.441,,40.071,,253.370,,245.224,,-,Nothing exists,3.483,,6.975,,1.508,,5.467,,-0.035,,0.261,,7.859,,0.571,,0.205,,0.366,,7.288,,-,Nothing exists,-,Nothing exists
2012-12,3220.356,,2786.117,,376.066,,316.814,,316.339,,0.475,,59.252,,57.575,,1.677,,2844.290,,2310.907,,-45.096,,-39.599,,-34.285,,-21.412,,-21.448,,0.036,,-12.873,,-9.183,,-3.690,,-10.811,,-5.529,,2119.490,,249.703,,1869.787,,191.417,,31.372,,533.383,,292.713,,39.429,,253.284,,240.670,,-,Nothing exists,3.465,,-8.240,,-1.603,,-6.637,,2.711,,0.049,,-5.282,,-0.728,,-0.642,,-0.086,,-4.554,,-,Nothing exists,-0.018,
2013-01,3243.074,,2806.491,,399.627,,338.188,,337.410,,0.778,,61.439,,60.078,,1.361,,2843.447,,2314.080,,22.718,,20.374,,24.441,,22.254,,21.951,,0.303,,2.187,,2.503,,-0.316,,-1.723,,2.293,,2116.918,,249.643,,1867.275,,197.162,,31.045,,529.367,,292.085,,39.674,,252.411,,237.282,,-,Nothing exists,3.455,,-3.452,,-0.940,,-2.512,,5.745,,-0.327,,-4.016,,-0.628,,0.245,,-0.873,,-3.388,,-,Nothing exists,-0.010,
2013-02,3237.405,,2804.885,,396.124,,338.397,,337.515,,0.882,,57.727,,56.646,,1.081,,2841.281,,2311.563,,-5.729,,-1.666,,-3.563,,0.149,,0.045,,0.104,,-3.712,,-3.432,,-0.280,,-2.166,,-2.517,,2120.089,,249.325,,1870.764,,191.474,,31.027,,529.718,,290.635,,39.260,,251.375,,239.083,,-,Nothing exists,3.447,,3.171,,-0.318,,3.489,,-5.688,,-0.018,,0.351,,-1.450,,-0.414,,-1.036,,1.801,,-,Nothing exists,-0.008,
2013-03,3234.025,,2796.178,,387.479,,332.654,,331.668,,0.986,,54.825,,53.877,,0.948,,2846.546,,2315.913,,-3.380,,-8.707,,-8.645,,-5.743,,-5.847,,0.104,,-2.902,,-2.769,,-0.133,,5.265,,4.350,,2119.333,,249.612,,1869.721,,196.580,,30.782,,530.633,,291.300,,40.511,,250.789,,239.333,,-,Nothing exists,3.429,,-0.756,,0.287,,-1.043,,5.106,,-0.245,,0.915,,0.665,,1.251,,-0.586,,0.250,,-,Nothing exists,-0.018,
2013-04,3260.904,,2801.831,,391.388,,326.669,,325.481,,1.188,,64.719,,63.005,,1.714,,2869.516,,2338.402,,26.879,,5.653,,3.909,,-5.985,,-6.187,,0.202,,9.894,,9.128,,0.766,,22.970,,22.489,,2121.144,,249.804,,1871.340,,217.258,,30.435,,531.114,,292.201,,40.816,,251.385,,238.913,,-,Nothing exists,3.256,,1.811,,0.192,,1.619,,20.678,,-0.347,,0.481,,0.901,,0.305,,0.596,,-0.420,,-,Nothing exists,-0.173,
2013-05,3232.127,,2796.225,,380.257,,325.934,,324.876,,1.058,,54.323,,52.468,,1.855,,2851.870,,2325.809,,-28.777,,-5.606,,-11.131,,-0.735,,-0.605,,-0.130,,-10.396,,-10.537,,0.141,,-17.646,,-12.593,,2126.715,,252.036,,1874.679,,199.094,,30.262,,526.061,,292.166,,40.341,,251.825,,233.895,,-,Nothing exists,3.246,,5.571,,2.232,,3.339,,-18.164,,-0.173,,-5.053,,-0.035,,-0.475,,0.440,,-5.018,,-,Nothing exists,-0.010,
2013-06,3238.018,,2806.441,,389.866,,338.785,,338.203,,0.582,,51.081,,50.353,,0.728,,2848.152,,2319.601,,5.891,,10.216,,9.959,,13.201,,13.327,,-0.126,,-3.242,,-2.115,,-1.127,,-4.068,,-6.558,,2125.935,,250.540,,1875.395,,193.666,,30.021,,528.551,,291.950,,40.539,,251.411,,236.601,,-,Nothing exists,3.218,,-0.780,,-1.496,,0.716,,-5.778,,-0.241,,2.490,,-0.216,,0.198,,-0.414,,2.706,,-,Nothing exists,-0.028,
2013-07,3230.848,,2797.144,,376.070,,319.930,,319.330,,0.600,,56.140,,54.694,,1.446,,2854.778,,2322.954,,-7.170,,-9.297,,-13.751,,-18.810,,-18.828,,0.018,,5.059,,4.341,,0.718,,6.581,,3.308,,2130.506,,251.961,,1878.545,,192.448,,29.629,,531.824,,292.614,,41.215,,251.399,,239.210,,-,Nothing exists,3.144,,4.526,,1.201,,3.325,,-1.218,,-0.392,,3.273,,0.664,,0.676,,-0.012,,2.609,,-,Nothing exists,-0.074,
2013-08,3127.246,,2692.306,,269.913,,220.602,,220.052,,0.550,,49.311,,48.011,,1.300,,2857.333,,2324.533,,-10.742,,-11.978,,-16.382,,-9.553,,-9.503,,-0.050,,-6.829,,-6.683,,-0.146,,5.640,,4.664,,2131.693,,249.472,,1882.221,,192.840,,29.490,,532.800,,292.550,,41.233,,251.317,,240.250,,-,Nothing exists,3.132,,4.272,,0.596,,3.676,,0.392,,-0.139,,0.976,,-0.064,,0.018,,-0.082,,1.040,,-,Nothing exists,-0.012,
2013-09,3127.466,,2692.299,,276.704,,226.045,,225.264,,0.781,,50.659,,49.370,,1.289,,2850.762,,2320.482,,0.325,,0.098,,6.946,,5.598,,5.367,,0.231,,1.348,,1.359,,-0.011,,-6.621,,-4.101,,2127.078,,247.640,,1879.438,,193.404,,29.271,,530.280,,290.587,,40.715,,249.872,,239.693,,-,Nothing exists,2.668,,-4.665,,-1.992,,-2.673,,0.564,,-0.219,,-2.520,,-1.963,,-0.518,,-1.445,,-0.557,,-,Nothing exists,-0.464,
2013-10,3138.158,,2698.817,,279.409,,220.935,,220.311,,0.624,,58.474,,57.494,,0.980,,2858.749,,2325.981,,10.847,,6.673,,2.905,,-4.765,,-4.608,,-0.157,,7.670,,7.979,,-0.309,,7.942,,5.454,,2131.303,,247.950,,1883.353,,194.678,,28.953,,532.768,,289.709,,39.275,,250.434,,243.059,,-,Nothing exists,2.629,,4.180,,0.435,,3.745,,1.274,,-0.318,,2.488,,-0.878,,-1.440,,0.562,,3.366,,-,Nothing exists,-0.039,
2013-11,3139.161,,2698.742,,270.315,,216.767,,216.172,,0.595,,53.548,,52.309,,1.239,,2868.846,,2334.026,,1.003,,-0.075,,-7.279,,-2.353,,-2.324,,-0.029,,-4.926,,-5.185,,0.259,,8.282,,6.230,,2139.937,,249.475,,1890.462,,194.089,,28.993,,534.820,,290.324,,39.070,,251.254,,244.496,,-,Nothing exists,2.635,,6.819,,1.155,,5.664,,-0.589,,0.040,,2.052,,0.615,,-0.205,,0.820,,1.437,,-,Nothing exists,0.006,
2013-12,3131.639,,2693.155,,269.060,,217.688,,217.046,,0.642,,51.372,,50.766,,0.606,,2862.579,,2328.567,,-7.472,,-5.537,,-1.255,,0.921,,0.874,,0.047,,-2.176,,-1.543,,-0.633,,-6.217,,-5.409,,2136.911,,248.030,,1888.881,,191.656,,28.893,,534.012,,288.432,,38.763,,249.669,,245.580,,-,Nothing exists,2.692,,-2.976,,-1.465,,-1.511,,-2.433,,-0.100,,-0.808,,-1.892,,-0.307,,-1.585,,1.084,,-,Nothing exists,0.057,
2014-01,3140.702,,2696.758,,272.947,,214.727,,213.906,,0.821,,58.220,,57.842,,0.378,,2867.755,,2335.935,,9.063,,3.603,,3.502,,-3.251,,-3.430,,0.179,,6.753,,7.076,,-0.323,,5.561,,7.658,,2137.408,,248.569,,1888.839,,198.527,,28.563,,531.820,,287.602,,38.390,,249.212,,244.218,,-,Nothing exists,2.673,,0.787,,0.809,,-0.022,,6.871,,-0.330,,-2.097,,-0.830,,-0.373,,-0.457,,-1.267,,-,Nothing exists,-0.019,
2014-02,3134.475,,2695.692,,271.733,,216.620,,215.890,,0.730,,55.113,,54.473,,0.640,,2862.742,,2330.679,,-6.227,,-1.066,,-1.214,,1.893,,1.984,,-0.091,,-3.107,,-3.369,,0.262,,-5.013,,-5.256,,2138.698,,248.497,,1890.201,,191.981,,25.782,,532.063,,286.631,,38.005,,248.626,,245.432,,-,Nothing exists,2.258,,1.290,,-0.072,,1.362,,-6.546,,-0.056,,0.243,,-0.971,,-0.385,,-0.586,,1.214,,-,Nothing exists,-0.020,
2014-03,3136.449,,2692.896,,271.733,,220.555,,219.844,,0.711,,51.178,,50.476,,0.702,,2864.716,,2333.132,,2.074,,-2.696,,0.100,,4.035,,4.054,,-0.019,,-3.935,,-3.997,,0.062,,1.974,,2.453,,2136.425,,249.093,,1887.332,,196.707,,25.542,,531.584,,286.151,,37.353,,248.798,,245.433,,-,Nothing exists,2.251,,-2.273,,0.596,,-2.869,,4.726,,-0.240,,-0.479,,-0.480,,-0.652,,0.172,,0.001,,-,Nothing exists,-0.007,
2014-04,3157.982,,2696.491,,269.859,,217.242,,216.559,,0.683,,52.617,,51.605,,1.012,,2888.123,,2356.689,,21.533,,3.595,,-1.874,,-3.313,,-3.285,,-0.028,,1.439,,1.129,,0.310,,23.407,,23.177,,2143.240,,250.959,,1892.281,,213.449,,25.393,,531.434,,285.087,,36.727,,248.360,,246.347,,-,Nothing exists,2.218,,6.435,,3.356,,3.079,,16.742,,-0.149,,0.230,,-0.684,,-0.626,,-0.058,,0.914,,-,Nothing exists,-0.033,
2014-05,3154.302,,2703.050,,271.058,,216.548,,215.669,,0.879,,54.510,,53.992,,0.518,,2883.244,,2350.463,,-3.680,,6.559,,1.199,,-0.694,,-0.890,,0.196,,1.893,,2.387,,-0.494,,-4.879,,-6.226,,2149.207,,250.069,,1899.138,,201.256,,25.432,,532.781,,284.182,,36.781,,247.401,,248.599,,-,Nothing exists,2.216,,5.967,,-0.890,,6.857,,-12.193,,0.039,,1.347,,-0.905,,0.054,,-0.959,,2.252,,-,Nothing exists,-0.002,
2014-06,3147.341,,2697.343,,273.260,,223.387,,222.584,,0.803,,49.873,,48.827,,1.046,,2874.081,,2342.624,,-5.961,,-4.707,,2.202,,6.839,,6.915,,-0.076,,-4.637,,-5.165,,0.528,,-8.163,,-7.149,,2144.510,,248.909,,1895.601,,198.114,,25.341,,531.457,,281.422,,36.050,,245.372,,250.035,,-,Nothing exists,2.167,,-4.007,,-1.160,,-2.847,,-3.142,,-0.091,,-1.014,,-2.450,,-0.731,,-1.719,,1.436,,-,Nothing exists,-0.049,
2014-07,3155.694,,2699.540,,268.090,,215.284,,214.592,,0.692,,52.806,,51.629,,1.177,,2887.604,,2352.858,,8.353,,2.197,,-5.170,,-8.103,,-7.992,,-0.111,,2.933,,2.802,,0.131,,13.523,,10.234,,2151.946,,249.548,,1902.398,,200.912,,24.977,,534.746,,281.373,,35.997,,245.376,,253.373,,-,Nothing exists,2.147,,7.436,,0.639,,6.797,,2.798,,-0.364,,3.289,,-0.049,,-0.053,,0.004,,3.338,,-,Nothing exists,-0.020,
2014-08,3154.994,,2699.797,,260.546,,212.169,,211.645,,0.524,,48.377,,47.499,,0.878,,2894.448,,2359.600,,-0.775,,0.182,,-7.399,,-2.970,,-2.802,,-0.168,,-4.429,,-4.130,,-0.299,,6.624,,6.372,,2160.771,,250.580,,1910.191,,198.829,,24.927,,534.848,,279.882,,32.860,,247.022,,254.966,,-,Nothing exists,2.140,,8.455,,0.952,,7.503,,-2.083,,-0.050,,0.252,,-1.341,,-0.657,,-0.684,,1.593,,-,Nothing exists,-0.007,
2014-09,3164.962,,2707.406,,270.255,,220.859,,220.253,,0.606,,49.396,,49.121,,0.275,,2894.707,,2360.748,,10.028,,7.669,,9.709,,8.690,,8.608,,0.082,,1.019,,1.622,,-0.603,,0.319,,1.268,,2160.254,,250.266,,1909.988,,200.494,,24.774,,533.959,,277.778,,32.327,,245.451,,256.181,,-,Nothing exists,2.134,,-0.397,,-0.254,,-0.143,,1.665,,-0.153,,-0.949,,-2.164,,-0.533,,-1.631,,1.215,,-,Nothing exists,-0.006,
2014-10,3169.034,,2712.087,,265.588,,212.557,,211.801,,0.756,,53.031,,52.538,,0.493,,2903.446,,2364.876,,4.072,,4.681,,-4.667,,-8.302,,-8.452,,0.150,,3.635,,3.417,,0.218,,8.739,,4.128,,2167.033,,251.763,,1915.270,,197.843,,24.388,,538.570,,280.715,,34.450,,246.265,,257.855,,-,Nothing exists,2.129,,6.779,,1.497,,5.282,,-2.651,,-0.386,,4.611,,2.937,,-0.047,,2.984,,1.674,,-,Nothing exists,-0.005,
2014-11,3178.949,,2720.025,,265.697,,214.582,,214.134,,0.448,,51.115,,50.712,,0.403,,2913.252,,2375.535,,9.915,,7.938,,0.109,,2.025,,2.333,,-0.308,,-1.916,,-1.826,,-0.090,,9.806,,10.659,,2175.083,,252.598,,1922.485,,200.452,,24.323,,537.717,,280.096,,33.761,,246.335,,257.621,,-,Nothing exists,2.142,,8.050,,0.835,,7.215,,2.609,,-0.065,,-0.853,,-0.619,,-0.689,,0.070,,-0.234,,-,Nothing exists,0.013,
2014-12,3167.268,,2712.590,,257.487,,212.661,,212.058,,0.603,,44.826,,44.723,,0.103,,2909.781,,2376.846,,-11.681,,-7.435,,-8.110,,-1.346,,-1.501,,0.155,,-6.764,,-6.464,,-0.300,,-3.571,,5.136,,2172.682,,251.661,,1921.021,,204.164,,24.397,,532.935,,283.127,,33.517,,249.610,,249.808,,-,Nothing exists,2.106,,1.424,,-0.682,,2.106,,3.712,,0.089,,-8.707,,-0.894,,-0.359,,-0.535,,-7.813,,-,Nothing exists,-0.036,
2015-01,3191.539,,2725.954,,267.864,,214.744,,214.029,,0.715,,53.120,,52.752,,0.368,,2923.675,,2388.413,,26.431,,15.524,,10.697,,2.403,,2.291,,0.112,,8.294,,8.029,,0.265,,15.734,,13.907,,2175.186,,252.486,,1922.700,,213.227,,23.991,,535.262,,283.987,,32.659,,251.328,,251.275,,-,Nothing exists,2.105,,4.844,,1.625,,3.219,,9.063,,-0.406,,1.827,,0.360,,-0.858,,1.218,,1.467,,-,Nothing exists,-0.001,
2015-02,3205.051,,2737.148,,275.821,,218.869,,217.823,,1.046,,56.952,,56.713,,0.239,,2929.230,,2391.533,,13.512,,11.194,,7.957,,4.125,,3.794,,0.331,,3.832,,3.961,,-0.129,,5.555,,3.120,,2179.553,,251.424,,1928.129,,211.980,,24.064,,537.697,,283.059,,32.656,,250.403,,254.638,,-,Nothing exists,2.105,,4.367,,-1.062,,5.429,,-1.247,,0.073,,2.435,,-0.928,,-0.003,,-0.925,,3.363,,-,Nothing exists,-,Nothing exists
2015-03,3212.022,,2739.001,,278.085,,220.386,,219.426,,0.960,,57.699,,57.140,,0.559,,2933.937,,2399.114,,6.971,,1.853,,2.264,,1.517,,1.603,,-0.086,,0.747,,0.427,,0.320,,4.707,,7.581,,2180.559,,251.667,,1928.892,,218.555,,23.828,,534.822,,281.876,,32.340,,249.536,,252.946,,-,Nothing exists,2.103,,1.006,,0.243,,0.763,,6.575,,-0.236,,-2.875,,-1.183,,-0.316,,-0.867,,-1.692,,-,Nothing exists,-0.002,
2015-04,3221.115,,2745.391,,283.974,,216.644,,215.660,,0.984,,67.330,,66.811,,0.519,,2937.141,,2403.416,,9.143,,6.390,,5.889,,-3.742,,-3.766,,0.024,,9.631,,9.671,,-0.040,,3.254,,4.302,,2182.131,,250.476,,1931.655,,221.285,,23.702,,533.725,,280.789,,29.502,,251.287,,252.936,,-,Nothing exists,2.096,,1.572,,-1.191,,2.763,,2.730,,-0.126,,-1.047,,-1.087,,-1.778,,0.691,,0.040,,-,Nothing exists,-0.007,
2015-05,3207.869,,2743.622,,272.364,,215.773,,214.699,,1.074,,56.591,,55.933,,0.658,,2935.505,,2407.133,,-13.056,,-1.579,,-11.420,,-0.671,,-0.761,,0.090,,-10.749,,-10.888,,0.139,,-1.636,,3.822,,2192.631,,253.234,,1939.397,,214.502,,23.617,,528.372,,280.359,,29.460,,250.899,,248.013,,-,Nothing exists,2.073,,10.605,,2.773,,7.832,,-6.783,,-0.085,,-5.458,,-0.535,,-0.057,,-0.478,,-4.923,,-,Nothing exists,-0.023,
2015-06,3200.403,,2745.530,,279.165,,223.765,,222.455,,1.310,,55.400,,54.298,,1.102,,2921.238,,2397.022,,-7.466,,1.908,,6.801,,7.992,,7.756,,0.236,,-1.191,,-1.635,,0.444,,-14.267,,-10.096,,2190.527,,251.530,,1938.997,,206.495,,23.321,,524.216,,278.250,,28.724,,249.526,,245.966,,-,Nothing exists,2.021,,-2.089,,-1.704,,-0.385,,-8.007,,-0.296,,-4.171,,-2.124,,-0.736,,-1.388,,-2.047,,-,Nothing exists,-0.052,
2015-07,3228.683,,2748.676,,272.998,,215.373,,214.026,,1.347,,57.625,,56.542,,1.083,,2955.685,,2430.166,,28.280,,3.146,,-6.167,,-8.392,,-8.429,,0.037,,2.225,,2.244,,-0.019,,34.447,,31.944,,2201.463,,250.843,,1950.620,,228.703,,23.000,,525.519,,276.645,,28.475,,248.170,,248.874,,-,Nothing exists,2.014,,9.736,,-0.687,,10.423,,22.208,,-0.321,,2.503,,-0.405,,-0.249,,-0.156,,2.908,,-,Nothing exists,-0.007,
2015-08,3230.856,,2751.410,,269.446,,213.980,,212.917,,1.063,,55.466,,54.598,,0.868,,2961.410,,2432.529,,2.313,,2.874,,-3.412,,-1.238,,-0.954,,-0.284,,-2.174,,-1.959,,-0.215,,5.725,,2.593,,2208.157,,250.955,,1957.202,,224.372,,22.945,,528.881,,275.738,,28.184,,247.554,,253.143,,-,Nothing exists,2.010,,6.924,,0.112,,6.812,,-4.331,,-0.055,,3.132,,-1.137,,-0.291,,-0.846,,4.269,,-,Nothing exists,-0.004,
2015-09,3230.803,,2756.356,,271.828,,218.490,,217.610,,0.880,,53.338,,52.539,,0.799,,2958.975,,2428.350,,-0.053,,4.946,,2.382,,4.510,,4.693,,-0.183,,-2.128,,-2.059,,-0.069,,-2.435,,-3.419,,2208.670,,251.230,,1957.440,,219.680,,22.886,,530.625,,277.537,,29.334,,248.203,,253.088,,-,Nothing exists,1.996,,1.273,,0.570,,0.703,,-4.692,,-0.059,,0.984,,1.039,,0.855,,0.184,,-0.055,,-,Nothing exists,-0.014,
2015-10,3232.026,,2764.916,,268.001,,212.430,,211.681,,0.749,,55.571,,54.773,,0.798,,2964.025,,2433.787,,1.223,,8.560,,-3.827,,-6.040,,-5.909,,-0.131,,2.213,,2.214,,-0.001,,5.050,,5.732,,2219.992,,253.155,,1966.837,,213.795,,22.737,,530.238,,278.470,,29.250,,249.220,,251.768,,-,Nothing exists,1.993,,11.617,,1.930,,9.687,,-5.885,,-0.149,,-0.682,,0.638,,-0.089,,0.727,,-1.320,,-,Nothing exists,-0.003,
2015-11,3248.998,,2775.460,,264.159,,212.871,,212.260,,0.611,,51.288,,50.862,,0.426,,2984.839,,2451.076,,16.712,,10.284,,-0.907,,3.376,,3.514,,-0.138,,-4.283,,-3.911,,-0.372,,17.619,,14.094,,2233.708,,256.129,,1977.579,,217.368,,22.513,,533.763,,278.630,,28.135,,250.495,,255.133,,-,Nothing exists,1.993,,10.521,,1.964,,8.557,,3.573,,-0.224,,3.525,,0.160,,-1.115,,1.275,,3.365,,-,Nothing exists,-,Nothing exists
2015-12,3233.856,,2764.448,,255.528,,207.755,,207.552,,0.203,,47.773,,47.541,,0.232,,2978.328,,2451.353,,-15.142,,-11.012,,-8.631,,-5.116,,-4.708,,-0.408,,-3.515,,-3.321,,-0.194,,-6.511,,0.277,,2232.379,,256.032,,1976.347,,218.974,,18.264,,526.975,,276.976,,27.948,,249.028,,249.999,,-,Nothing exists,2.109,,-1.329,,-0.097,,-1.232,,1.606,,-0.229,,-6.788,,-1.654,,-0.187,,-1.467,,-5.134,,-,Nothing exists,0.116,
2016-01,3238.670,,2771.409,,258.963,,208.089,,207.713,,0.376,,50.874,,50.527,,0.347,,2979.707,,2452.495,,4.524,,6.671,,3.145,,0.044,,-0.129,,0.173,,3.101,,2.986,,0.115,,1.379,,1.142,,2235.334,,257.079,,1978.255,,217.161,,18.154,,527.212,,277.835,,27.711,,250.124,,249.377,,-,Nothing exists,2.133,,2.955,,0.437,,2.518,,-1.813,,-0.110,,0.237,,0.859,,-0.237,,1.096,,-0.622,,-,Nothing exists,0.024,
2016-02,3247.971,,2781.800,,266.306,,214.280,,213.591,,0.689,,52.026,,51.234,,0.792,,2981.665,,2456.075,,9.586,,10.536,,7.598,,6.446,,6.133,,0.313,,1.152,,0.707,,0.445,,1.988,,3.640,,2240.169,,257.387,,1982.782,,215.906,,18.042,,525.590,,276.806,,27.681,,249.125,,248.784,,-,Nothing exists,2.135,,4.775,,1.028,,3.747,,-1.135,,-0.112,,-1.652,,-1.079,,-0.035,,-1.044,,-0.573,,-,Nothing exists,0.002,
2016-03,3247.218,,2786.296,,271.365,,218.732,,217.932,,0.800,,52.633,,52.240,,0.393,,2975.853,,2454.076,,-0.753,,4.496,,5.274,,4.667,,4.556,,0.111,,0.607,,1.006,,-0.399,,-6.027,,-2.214,,2240.542,,257.300,,1983.242,,213.534,,17.861,,521.777,,275.582,,27.490,,248.092,,246.195,,-,Nothing exists,2.011,,0.158,,-0.087,,0.245,,-2.372,,-0.181,,-3.813,,-1.224,,-0.191,,-1.033,,-2.589,,-,Nothing exists,-0.124,
2016-04,3260.559,,2798.742,,273.938,,217.934,,217.180,,0.754,,56.004,,55.508,,0.496,,2986.621,,2466.487,,13.264,,12.371,,2.573,,-0.798,,-0.752,,-0.046,,3.371,,3.268,,0.103,,10.691,,12.286,,2249.915,,258.603,,1991.312,,216.572,,17.829,,520.134,,276.139,,27.451,,248.688,,243.995,,-,Nothing exists,1.987,,9.248,,1.228,,8.020,,3.038,,-0.032,,-1.595,,0.607,,-0.039,,0.646,,-2.202,,-,Nothing exists,-0.024,
2016-05,3264.835,,2805.614,,276.136,,221.150,,220.352,,0.798,,54.986,,54.400,,0.586,,2988.699,,2472.713,,5.736,,8.332,,2.198,,3.216,,3.172,,0.044,,-1.018,,-1.108,,0.090,,3.538,,7.736,,2255.810,,258.020,,1997.790,,216.903,,17.718,,515.986,,275.052,,27.111,,247.941,,240.934,,-,Nothing exists,1.972,,7.405,,0.792,,6.613,,0.331,,-0.111,,-4.198,,-1.137,,-0.365,,-0.772,,-3.061,,-,Nothing exists,-0.015,
2016-06,3252.125,,2797.500,,268.846,,217.828,,216.750,,1.078,,51.018,,50.336,,0.682,,2983.279,,2472.832,,-11.865,,-7.269,,-6.465,,-2.497,,-2.777,,0.280,,-3.968,,-4.064,,0.096,,-5.400,,0.239,,2256.874,,258.713,,1998.161,,215.958,,17.808,,510.447,,273.540,,26.928,,246.612,,236.907,,-,Nothing exists,1.798,,1.184,,0.693,,0.491,,-0.945,,0.090,,-5.639,,-1.612,,-0.183,,-1.429,,-4.027,,-,Nothing exists,-0.174,
2016-07,3264.451,,2806.647,,268.826,,213.845,,212.871,,0.974,,54.981,,54.242,,0.739,,2995.625,,2483.891,,13.346,,10.167,,0.080,,-3.883,,-3.779,,-0.104,,3.963,,3.906,,0.057,,13.266,,11.979,,2266.786,,258.545,,2008.241,,217.105,,17.688,,511.734,,272.748,,25.931,,246.817,,238.986,,-,Nothing exists,1.789,,10.832,,0.752,,10.080,,1.147,,-0.120,,1.287,,-0.792,,-0.997,,0.205,,2.079,,-,Nothing exists,-0.009,
2016-08,3265.922,,2811.173,,262.161,,208.083,,207.469,,0.614,,54.078,,53.417,,0.661,,3003.761,,2497.136,,1.521,,4.576,,-6.665,,-5.762,,-5.402,,-0.360,,-0.903,,-0.825,,-0.078,,8.186,,13.245,,2278.771,,260.640,,2018.131,,218.365,,17.612,,506.625,,271.516,,25.909,,245.607,,235.109,,-,Nothing exists,1.787,,11.985,,2.095,,9.890,,1.260,,-0.076,,-5.059,,-1.182,,-0.022,,-1.160,,-3.877,,-,Nothing exists,-0.002,
2016-09,3274.157,,2820.194,,268.748,,214.240,,213.743,,0.497,,54.508,,53.406,,1.102,,3005.409,,2502.733,,8.235,,9.021,,6.587,,6.157,,6.274,,-0.117,,0.430,,-0.011,,0.441,,1.648,,5.482,,2283.455,,260.983,,2022.472,,219.278,,17.491,,502.676,,269.590,,25.372,,244.218,,233.086,,-,Nothing exists,1.780,,4.569,,0.323,,4.246,,0.913,,-0.121,,-3.834,,-1.811,,-0.517,,-1.294,,-2.023,,-,Nothing exists,-0.007,
